"Company","Ticker",sector_id,industry_id,Number_of_employees,MarketCap,seg_id
"Walmart","WMT",57,9,2100000,484852.8,2
"Amazon","AMZN",57,13,1525000,1873675.8,3
"Apple","AAPL",63,4,161000,2647973.8,3
"UnitedHealth Group","UNH",27,10,440000,456080.8,2
"Berkshire Hathaway","BRKA",21,13,396500,908919.7,2
"CVS Health","CVS",27,10,259500,100373.9,2
"Exxon Mobil","XOM",17,16,61500,461222.2,2
"Alphabet","GOOGL",63,13,182502,1884633,3
"McKesson","MCK",27,22,48000,70546.5,2
"Cencora","COR",27,22,44000,48472.1,2
"Costco Wholesale","COST",57,9,316000,324924.4,2
"JPMorgan Chase","JPM",21,4,309926,576938.4,2
"Microsoft","MSFT",63,4,221000,3126133.1,3
"Cardinal Health","CAH",27,22,47520,27217.8,2
"Chevron","CVX",17,16,45600,292965.6,2
"Cigna","CI",27,10,71413,103017.9,2
"Ford Motor","F",48,16,177000,53017.8,2
"Bank of America","BAC",21,4,212985,299213,2
"General Motors","GM",48,16,163000,52353.5,2
"Elevance Health","ELV",27,10,104900,120619.6,2
"Citigroup","C",21,4,237925,121122.2,2
"Centene","CNC",27,10,67700,41979.4,2
"Home Depot","HD",57,18,463100,380153.7,2
"Marathon Petroleum","MPC",17,16,18200,72607.7,2
"Kroger","KR",22,8,414000,41100.7,2
"Phillips 66","PSX",17,16,14000,69880.8,2
"Fannie Mae","FNMA",21,4,8100,1818.2,2
"Walgreens Boots Alliance","WBA",22,8,268500,18712.3,2
"Valero Energy","VLO",17,16,9897,56234.5,2
"Meta Platforms","META",63,13,67317,1237940.1,3
"Verizon Communications","VZ",64,20,105400,176651.6,2
"AT&T","T",64,20,150470,125889.1,2
"Comcast","CMCSA",64,20,186000,172180,2
"Wells Fargo","WFC",21,4,226000,205201.8,2
"Goldman Sachs Group","GS",21,4,45300,135551.7,2
"Freddie Mac","FMCC",21,4,8020,877.6,2
"Target","TGT",57,9,415000,81816.1,2
"Humana","HUM",27,10,67600,41796.7,2
"State Farm Insurance","",21,13,65054,,2
"Tesla","TSLA",48,16,140473,559854.3,2
"Morgan Stanley","MS",21,4,80006,153976.9,2
"Johnson & Johnson","JNJ",27,16,131900,381203.6,2
"Archer Daniels Midland","ADM",25,8,41008,32023.6,2
"PepsiCo","PEP",25,8,318000,240552.8,2
"United Parcel Service","UPS",67,13,382550,126828.9,2
"FedEx","FDX",67,13,446400,71299.4,2
"Walt Disney","DIS",43,6,199125,224445.2,2
"Dell Technologies","DELL",63,4,120000,81450.6,2
"Lowe's","LOW",57,18,226000,145752.5,2
"Procter & Gamble","PG",34,11,107000,381777.7,2
"Energy Transfer","ET",17,16,13786,52974.8,2
"Boeing","BA",2,#N/A,171000,117750,2
"Albertsons","ACI",22,8,198650,12350.3,2
"Sysco","SYY",72,22,71750,40413.8,2
